N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
15,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14]",0.06666667,17306.807180,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=ABCDEFGHIJKLMNO
14,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]",0.07142857,10688.424610,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=ABCDEFGHIJKLMN
14,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13]",0.00000000,6672.902533,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=BCDEFGHIJKLMNO
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,1702.606291,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=BCDEFGHIJKLMN
10,100000000000000,"[4, 5]","[0, 1, 2, 3, 6, 7, 8, 9]",0.00000000,7.030338,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=ABDEGHJKMN
8,100000000000000,[3],"[0, 1, 2, 4, 5, 6, 7]",0.00000000,4.642425,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=ACEGIKMO
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,3.369902,KGeoMIP|alc=ABCDEFGHIJKLMNO|mec=BDFHJLN
14,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]",0.07142857,9297.139156,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=ABCDEFGHIJKLMNO
14,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]",0.07142857,3824.565455,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=ABCDEFGHIJKLMN
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,2015.725573,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=BCDEFGHIJKLMNO
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,1294.876271,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=BCDEFGHIJKLMN
10,100000000000000,"[4, 5]","[0, 1, 2, 3, 6, 7, 8, 9]",0.00000000,5.804410,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=ABDEGHJKMN
7,100000000000000,[3],"[0, 1, 2, 4, 5, 6]",0.00000000,3.515368,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=ACEGIKMO
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,3.372164,KGeoMIP|alc=ABCDEFGHIJKLMN|mec=BDFHJLN
14,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],0.00000000,6270.455366,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=ABCDEFGHIJKLMNO
13,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",0.07692308,1338.559565,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=ABCDEFGHIJKLMN
14,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 13]",0.00000000,3718.195438,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=BCDEFGHIJKLMNO
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,1713.823219,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=BCDEFGHIJKLMN
9,100000000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8]",0.05555556,18.379759,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=ABDEGHJKMN
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,3.510105,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=ACEGIKMO
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,3.559291,KGeoMIP|alc=BCDEFGHIJKLMNO|mec=BDFHJLN
13,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",0.07692308,3756.625472,KGeoMIP|alc=BCDEFGHIJKLMN|mec=ABCDEFGHIJKLMNO
13,100000000000000,[6],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]",0.07692308,4056.740712,KGeoMIP|alc=BCDEFGHIJKLMN|mec=ABCDEFGHIJKLMN
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,2419.337240,KGeoMIP|alc=BCDEFGHIJKLMN|mec=BCDEFGHIJKLMNO
13,100000000000000,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],0.00000000,1458.567579,KGeoMIP|alc=BCDEFGHIJKLMN|mec=BCDEFGHIJKLMN
9,100000000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8]",0.05555556,16.585321,KGeoMIP|alc=BCDEFGHIJKLMN|mec=ABDEGHJKMN
6,100000000000000,"[2, 3]","[0, 1, 4, 5]",0.00000000,3.726043,KGeoMIP|alc=BCDEFGHIJKLMN|mec=ACEGIKMO
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,4.209657,KGeoMIP|alc=BCDEFGHIJKLMN|mec=BDFHJLN
10,100000000000000,[1],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",0.05000000,49.465455,KGeoMIP|alc=ABDEGHJKMN|mec=ABCDEFGHIJKLMNO
10,100000000000000,[1],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",0.05000000,49.116253,KGeoMIP|alc=ABDEGHJKMN|mec=ABCDEFGHIJKLMN
