N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
9,100000000000000,[0],"[1, 2, 3, 4, 5, 6, 7, 8]",0.05555556,28.308397,KGeoMIP|alc=ABDEGHJKMN|mec=BCDEFGHIJKLMNO
9,100000000000000,[0],"[1, 2, 3, 4, 5, 6, 7, 8]",0.05555556,19.746858,KGeoMIP|alc=ABDEGHJKMN|mec=BCDEFGHIJKLMN
10,100000000000000,"[4, 5]","[0, 1, 2, 3, 6, 7, 8, 9]",0.00000000,8.477386,KGeoMIP|alc=ABDEGHJKMN|mec=ABDEGHJKMN
5,100000000000000,[0],"[1, 2, 3, 4]",0.10000000,5.643354,KGeoMIP|alc=ABDEGHJKMN|mec=ACEGIKMO
5,100000000000000,[0],"[1, 2, 3, 4]",0.00000000,4.631777,KGeoMIP|alc=ABDEGHJKMN|mec=BDFHJLN
8,100000000000000,[0],"[1, 2, 3, 4, 5, 6, 7]",0.06250000,10.963535,KGeoMIP|alc=ACEGIKMO|mec=ABCDEFGHIJKLMNO
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,7.737432,KGeoMIP|alc=ACEGIKMO|mec=ABCDEFGHIJKLMN
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,6.128729,KGeoMIP|alc=ACEGIKMO|mec=BCDEFGHIJKLMNO
6,100000000000000,[0],"[1, 2, 3, 4, 5]",0.08333333,4.388979,KGeoMIP|alc=ACEGIKMO|mec=BCDEFGHIJKLMN
5,100000000000000,[0],"[1, 2, 3, 4]",0.10000000,3.421758,KGeoMIP|alc=ACEGIKMO|mec=ABDEGHJKMN
8,100000000000000,[3],"[0, 1, 2, 4, 5, 6, 7]",0.00000000,5.753223,KGeoMIP|alc=ACEGIKMO|mec=ACEGIKMO
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,6.130119,KGeoMIP|alc=BDFHJLN|mec=ABCDEFGHIJKLMNO
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,6.086259,KGeoMIP|alc=BDFHJLN|mec=ABCDEFGHIJKLMN
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,5.637502,KGeoMIP|alc=BDFHJLN|mec=BCDEFGHIJKLMNO
7,100000000000000,[0],"[1, 2, 3, 4, 5, 6]",0.07142857,6.021065,KGeoMIP|alc=BDFHJLN|mec=BCDEFGHIJKLMN
5,100000000000000,[1],"[0, 2, 3, 4]",0.00000000,3.384259,KGeoMIP|alc=BDFHJLN|mec=ABDEGHJKMN
7,100000000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,5.211409,KGeoMIP|alc=BDFHJLN|mec=BDFHJLN
12,100000000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",0.04166667,843.433219,KGeoMIP|alc=BCDEFGJKLMNO|mec=BCDEFGHIJKLMNO
