N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
10,100000000000000,"[2, 3]","[0, 1, 6, 7, 8, 9]",0.00000000,486.676036,KQNodes-k3|alc=ABCDEFGHIJKLMNO|mec=ABDEGHJKMN
8,100000000000000,[0],[7],0.18750000,113.734157,KQNodes-k3|alc=ABCDEFGHIJKLMNO|mec=ACEGIKMO
7,100000000000000,[1],"[0, 3, 4, 5, 6]",0.21428571,5.159539,KQNodes-k3|alc=ABCDEFGHIJKLMNO|mec=BDFHJLN
10,100000000000000,"[2, 3]","[0, 1, 6, 7, 8, 9]",0.00000000,482.874935,KQNodes-k3|alc=ABCDEFGHIJKLMN|mec=ABDEGHJKMN
7,100000000000000,[1],"[0, 3, 4, 5, 6]",0.21428571,5.004996,KQNodes-k3|alc=ABCDEFGHIJKLMN|mec=BDFHJLN
7,100000000000000,[1],"[0, 3, 4, 5, 6]",0.21428571,8.142506,KQNodes-k3|alc=BCDEFGHIJKLMNO|mec=BDFHJLN
7,100000000000000,[1],"[0, 3, 4, 5, 6]",0.21428571,6.428068,KQNodes-k3|alc=BCDEFGHIJKLMN|mec=BDFHJLN
8,100000000000000,[0],[7],0.18750000,133.558219,KQNodes-k3|alc=ACEGIKMO|mec=ACEGIKMO
7,100000000000000,[1],"[0, 3, 4, 5, 6]",0.21428571,11.197725,KQNodes-k3|alc=BDFHJLN|mec=BDFHJLN
