prueba,n_sub,estado_inicial,alcance,mecanismo,k,estrategia,particion,perdida,tiempo_s
9,14,100000000000000,ABCDEFGHIJKLMN,ABCDEFGHIJKLMN,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12,13]",0.07142857,3824.5655
9,14,100000000000000,ABCDEFGHIJKLMN,ABCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0151
10,13,100000000000000,ABCDEFGHIJKLMN,BCDEFGHIJKLMNO,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,2015.7256
10,13,100000000000000,ABCDEFGHIJKLMN,BCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0040
11,13,100000000000000,ABCDEFGHIJKLMN,BCDEFGHIJKLMN,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,1294.8763
11,13,100000000000000,ABCDEFGHIJKLMN,BCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0252
12,10,100000000000000,ABCDEFGHIJKLMN,ABDEGHJKMN,2,KGeoMIP,"[4,5]|[0,1,2,3,6,7,8,9]",0.00000000,5.8044
12,10,100000000000000,ABCDEFGHIJKLMN,ABDEGHJKMN,3,KQNodes,"[2,3]|[0,1,6,7,8,9]",0.00000000,482.8749
13,7,100000000000000,ABCDEFGHIJKLMN,ACEGIKMO,2,KGeoMIP,"[3]|[0,1,2,4,5,6]",0.00000000,3.5154
13,10,100000000000000,ABCDEFGHIJKLMN,ACEGIKMO,3,KQNodes,"[2,3]|[0,1,6,7,8,9]",0.00000000,482.8749
14,7,100000000000000,ABCDEFGHIJKLMN,BDFHJLN,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,3.3722
15,14,100000000000000,BCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11,12]|[13]",0.00000000,6270.4554
15,14,100000000000000,BCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0025
16,13,100000000000000,BCDEFGHIJKLMNO,ABCDEFGHIJKLMN,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12]",0.07692308,1338.5596
16,13,100000000000000,BCDEFGHIJKLMNO,ABCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0032
17,14,100000000000000,BCDEFGHIJKLMNO,BCDEFGHIJKLMNO,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12,13]",0.00000000,3718.1954
17,14,100000000000000,BCDEFGHIJKLMNO,BCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0143
18,13,100000000000000,BCDEFGHIJKLMNO,BCDEFGHIJKLMN,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,1713.8232
18,13,100000000000000,BCDEFGHIJKLMNO,BCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0588
19,9,100000000000000,BCDEFGHIJKLMNO,ABDEGHJKMN,2,KGeoMIP,"[4]|[0,1,2,3,5,6,7,8]",0.05555556,18.3798
20,7,100000000000000,BCDEFGHIJKLMNO,ACEGIKMO,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,3.5101
21,7,100000000000000,BCDEFGHIJKLMNO,BDFHJLN,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,3.5593
22,13,100000000000000,BCDEFGHIJKLMN,ABCDEFGHIJKLMNO,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12]",0.07692308,3756.6255
22,13,100000000000000,BCDEFGHIJKLMN,ABCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0495
23,13,100000000000000,BCDEFGHIJKLMN,ABCDEFGHIJKLMN,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12]",0.07692308,4056.7407
23,13,100000000000000,BCDEFGHIJKLMN,ABCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0593
24,13,100000000000000,BCDEFGHIJKLMN,BCDEFGHIJKLMNO,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,2419.3372
24,13,100000000000000,BCDEFGHIJKLMN,BCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0136
25,13,100000000000000,BCDEFGHIJKLMN,BCDEFGHIJKLMN,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,1458.5676
25,13,100000000000000,BCDEFGHIJKLMN,BCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0054
26,9,100000000000000,BCDEFGHIJKLMN,ABDEGHJKMN,2,KGeoMIP,"[4]|[0,1,2,3,5,6,7,8]",0.05555556,16.5853
26,7,100000000000000,BCDEFGHIJKLMN,ABDEGHJKMN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,8.1425
27,6,100000000000000,BCDEFGHIJKLMN,ACEGIKMO,2,KGeoMIP,"[2,3]|[0,1,4,5]",0.00000000,3.7260
27,7,100000000000000,BCDEFGHIJKLMN,ACEGIKMO,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,8.1425
28,7,100000000000000,BCDEFGHIJKLMN,BDFHJLN,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,4.2097
28,7,100000000000000,BCDEFGHIJKLMN,BDFHJLN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
29,10,100000000000000,ABDEGHJKMN,ABCDEFGHIJKLMNO,2,KGeoMIP,"[1]|[0,2,3,4,5,6,7,8,9]",0.05000000,49.4655
29,10,100000000000000,ABDEGHJKMN,ABCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0044
30,10,100000000000000,ABDEGHJKMN,ABCDEFGHIJKLMN,2,KGeoMIP,"[1]|[0,2,3,4,5,6,7,8,9]",0.05000000,49.1163
30,10,100000000000000,ABDEGHJKMN,ABCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0275
31,9,100000000000000,ABDEGHJKMN,BCDEFGHIJKLMNO,2,KGeoMIP,"[0]|[1,2,3,4,5,6,7,8]",0.05555556,28.3084
31,7,100000000000000,ABDEGHJKMN,BCDEFGHIJKLMNO,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
32,9,100000000000000,ABDEGHJKMN,BCDEFGHIJKLMN,2,KGeoMIP,"[0]|[1,2,3,4,5,6,7,8]",0.05555556,19.7469
32,7,100000000000000,ABDEGHJKMN,BCDEFGHIJKLMN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
33,10,100000000000000,ABDEGHJKMN,ABDEGHJKMN,2,KGeoMIP,"[4,5]|[0,1,2,3,6,7,8,9]",0.00000000,8.4774
33,10,100000000000000,ABDEGHJKMN,ABDEGHJKMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.1111
34,5,100000000000000,ABDEGHJKMN,ACEGIKMO,2,KGeoMIP,"[0]|[1,2,3,4]",0.10000000,5.6434
34,7,100000000000000,ABDEGHJKMN,ACEGIKMO,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
35,5,100000000000000,ABDEGHJKMN,BDFHJLN,2,KGeoMIP,"[0]|[1,2,3,4]",0.00000000,4.6318
35,7,100000000000000,ABDEGHJKMN,BDFHJLN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
36,8,100000000000000,ACEGIKMO,ABCDEFGHIJKLMNO,2,KGeoMIP,"[0]|[1,2,3,4,5,6,7]",0.06250000,10.9635
36,7,100000000000000,ACEGIKMO,ABCDEFGHIJKLMNO,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
37,7,100000000000000,ACEGIKMO,ABCDEFGHIJKLMN,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,7.7374
37,7,100000000000000,ACEGIKMO,ABCDEFGHIJKLMN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
38,7,100000000000000,ACEGIKMO,BCDEFGHIJKLMNO,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,6.1287
38,7,100000000000000,ACEGIKMO,BCDEFGHIJKLMNO,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
39,6,100000000000000,ACEGIKMO,BCDEFGHIJKLMN,2,KGeoMIP,"[0]|[1,2,3,4,5]",0.08333333,4.3890
39,7,100000000000000,ACEGIKMO,BCDEFGHIJKLMN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
40,5,100000000000000,ACEGIKMO,ABDEGHJKMN,2,KGeoMIP,"[0]|[1,2,3,4]",0.10000000,3.4218
40,7,100000000000000,ACEGIKMO,ABDEGHJKMN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,6.4281
41,8,100000000000000,ACEGIKMO,ACEGIKMO,2,KGeoMIP,"[3]|[0,1,2,4,5,6,7]",0.00000000,5.7532
41,8,100000000000000,ACEGIKMO,ACEGIKMO,3,KQNodes,[0]|[7],0.18750000,133.5582
42,8,100000000000000,ACEGIKMO,BDFHJLN,2,KGeoMIP,"[3]|[0,1,2,4,5,6,7]",0.00000000,5.7532
42,8,100000000000000,ACEGIKMO,BDFHJLN,3,KQNodes,[0]|[7],0.18750000,133.5582
43,7,100000000000000,BDFHJLN,ABCDEFGHIJKLMNO,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,6.1301
43,8,100000000000000,BDFHJLN,ABCDEFGHIJKLMNO,3,KQNodes,[0]|[7],0.18750000,133.5582
44,7,100000000000000,BDFHJLN,ABCDEFGHIJKLMN,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,6.0863
44,8,100000000000000,BDFHJLN,ABCDEFGHIJKLMN,3,KQNodes,[0]|[7],0.18750000,133.5582
45,7,100000000000000,BDFHJLN,BCDEFGHIJKLMNO,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,5.6375
45,8,100000000000000,BDFHJLN,BCDEFGHIJKLMNO,3,KQNodes,[0]|[7],0.18750000,133.5582
46,7,100000000000000,BDFHJLN,BCDEFGHIJKLMN,2,KGeoMIP,"[0]|[1,2,3,4,5,6]",0.07142857,6.0211
46,8,100000000000000,BDFHJLN,BCDEFGHIJKLMN,3,KQNodes,[0]|[7],0.18750000,133.5582
47,5,100000000000000,BDFHJLN,ABDEGHJKMN,2,KGeoMIP,"[1]|[0,2,3,4]",0.00000000,3.3843
47,8,100000000000000,BDFHJLN,ABDEGHJKMN,3,KQNodes,[0]|[7],0.18750000,133.5582
48,5,100000000000000,BDFHJLN,ACEGIKMO,2,KGeoMIP,"[1]|[0,2,3,4]",0.00000000,3.3843
48,8,100000000000000,BDFHJLN,ACEGIKMO,3,KQNodes,[0]|[7],0.18750000,133.5582
49,7,100000000000000,BDFHJLN,BDFHJLN,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,5.2114
49,7,100000000000000,BDFHJLN,BDFHJLN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,11.1977
50,12,100000000000000,BCDEFGJKLMNO,BCDEFGHIJKLMNO,2,KGeoMIP,"[4]|[0,1,2,3,5,6,7,8,9,10,11]",0.04166667,843.4332
50,12,100000000000000,BCDEFGJKLMNO,BCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0247
