prueba,n_sub,estado_inicial,alcance,mecanismo,k,estrategia,particion,perdida,tiempo_s
1,15,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12,13,14]",0.06666667,17306.8072
1,15,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0444
2,14,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12,13]",0.07142857,10688.4246
2,14,100000000000000,ABCDEFGHIJKLMNO,ABCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0683
3,14,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12,13]",0.00000000,6672.9025
3,14,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0270
4,13,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,2,KGeoMIP,"[0,1,2,3,4,5,6,7,8,9,10,11]|[12]",0.00000000,1702.6063
4,13,100000000000000,ABCDEFGHIJKLMNO,BCDEFGHIJKLMN,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0029
5,10,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,2,KGeoMIP,"[4,5]|[0,1,2,3,6,7,8,9]",0.00000000,7.0303
5,10,100000000000000,ABCDEFGHIJKLMNO,ABDEGHJKMN,3,KQNodes,"[2,3]|[0,1,6,7,8,9]",0.00000000,486.6760
6,8,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,2,KGeoMIP,"[3]|[0,1,2,4,5,6,7]",0.00000000,4.6424
6,8,100000000000000,ABCDEFGHIJKLMNO,ACEGIKMO,3,KQNodes,[0]|[7],0.18750000,113.7342
7,7,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,2,KGeoMIP,"[2,3]|[0,1,4,5,6]",0.00000000,3.3699
7,7,100000000000000,ABCDEFGHIJKLMNO,BDFHJLN,3,KQNodes,"[1]|[0,3,4,5,6]",0.21428571,5.1595
8,14,100000000000000,ABCDEFGHIJKLMN,ABCDEFGHIJKLMNO,2,KGeoMIP,"[6]|[0,1,2,3,4,5,7,8,9,10,11,12,13]",0.07142857,9297.1392
8,14,100000000000000,ABCDEFGHIJKLMN,ABCDEFGHIJKLMNO,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0138
