N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
3,000,[0],[2],0.00000000,0.001037,QNodes-k3
5,00000,"[0, 1, 2]",[4],0.10000000,0.040989,QNodes-k3
10,0000000000,[0],"[2, 3, 4, 5, 6, 7, 8, 9]",0.20000000,11625.534689,QNodes-k3
15,000000000000000,[0],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.13333333,5594.039994,QNodes-k3
